IDENT,AGE10,CA0ACATAEU_15,CA0AREGIONF_15,CA0AREG_15,CA11,CA12,CA20_15,CA23A,CA23C,CA23D,CA23E,CA23F,CA23G,CA24,CA25,CA26,CA7,CA8,CA8B3,OS1,PER1,Q1,Q31,STRADEF,CA23C_DETAIL_1,CA23C_DETAIL_10,CA23C_DETAIL_11,CA23C_DETAIL_12,CA23C_DETAIL_13,CA23C_DETAIL_14,CA23C_DETAIL_15,CA23C_DETAIL_16,CA23C_DETAIL_17,CA23C_DETAIL_18,CA23C_DETAIL_2,CA23C_DETAIL_3,CA23C_DETAIL_4,CA23C_DETAIL_6,CA23C_DETAIL_7,CA23C_DETAIL_8,CA23C_DETAIL_9,CA23G_1,CA23G_2,CA23G_3,CA23G_4,CA23G_5,CA26_8,CONTRAT_15,LIEUNAIS,PHD,PONDEF,REGETAB,SALPRS_15,SITDE_15,TAPE,TAPI,ZUS
A0038206,24,111,RHÔNE-ALPES,82,2,7,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,37.001961927,82,5200,1,12,12,2
A0038240,23,111,RHÔNE-ALPES,82,6,6,2,2,,,,,,2,,,,,,2,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,,00,16,44.583135086,82,,2,0,0,2
A0038310,24,111,PAYS DE LA LOIRE,52,4,4,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,35.996549195,82,1800,1,12,12,2
A0038328,24,111,ÎLE-DE-FRANCE,11,6,6,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,34.842526466,82,2250.328125,1,0,9,2
A0038333,23,111,PAYS DE LA LOIRE,52,1,4,2,2,,,,,,2,,,,,,1,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,34.522089907,82,2380,1,5,5,2
A0038341,28,112,LIMOUSIN,74,6,3,1,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,47.674070491,82,2075,1,3,3,2
A0038368,23,111,HAUTE-NORMANDIE,23,6,6,2,1,2,2,2,,,2,,,,,,2,1,1,2,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,"02 CDI, Fonctionnaire",00,16,36.425044677,31,2423,1,2,2,2
A0038395,25,111,ÎLE-DE-FRANCE,11,6,6,2,2,,,,,,2,,,3,3,2,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",10,14M,59.704861814,11,2983.65625,1,0,0,2
A0038414,25,111,ÎLE-DE-FRANCE,11,1,3,1,2,,,,,,2,,,2,2,2,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",09,06I,37.61787958,11,2200,1,1,1,2
A0038467,25,111,ÎLE-DE-FRANCE,11,5,3,1,2,,,,,,2,,,,,,2,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,14M,58.373962627,11,2592,1,0,0,2
A0038628,25,111,ÎLE-DE-FRANCE,11,3,3,1,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,74.544448802,82,2406,1,0,0,2
A0038651,23,111,RHÔNE-ALPES,82,1,3,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,12M,25.503102352,82,2600,1,0,14,2
A0038697,27,111,MIDI-PYRÉNÉES,73,6,1,2,2,,,,,,1,2,5,,,,1,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,0,"02 CDI, Fonctionnaire",00,16,58.050387948,73,1632,1,0,0,2
A0038731,23,111,MIDI-PYRÉNÉES,73,5,6,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,42.092850386,73,2862.3125,1,0,0,2
A0038756,25,111,MIDI-PYRÉNÉES,73,6,6,2,1,7,4,2,,,2,,,,2,,2,1,1,2,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,"02 CDI, Fonctionnaire",00,16,29.951738894,73,2033.328125,1,0,8,2
A0038769,23,111,PAYS DE LA LOIRE,52,5,5,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,01 Non salarié,00,07T,42.02765004,52,,1,0,,2
A0038785,24,111,ÎLE-DE-FRANCE,11,5,5,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,,00,16,68.861249489,52,,5,6,,2
A0038791,26,111,ÎLE-DE-FRANCE,11,,,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,48.596154282,52,1405.65625,1,6,17,2
A0038824,24,111,ÎLE-DE-FRANCE,11,5,5,2,2,,,,,,2,,,,,,2,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,54.4600866,52,2558.328125,1,7,20,2
A0038857,23,111,PAYS DE LA LOIRE,52,6,3,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,04 Emploi à durée déterminée,00,16,66.137237773,52,1743,1,5,9,2
A0038860,25,111,ÎLE-DE-FRANCE,11,3,3,2,2,,,,,,2,,,,,,1,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,33.284591535,52,2625,1,0,6,2
A0038923,24,111,LANGUEDOC-ROUSSILLON,91,4,3,2,2,,,,,,2,,,,,,2,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,69.296381807,91,2207,1,4,33,2
A0038933,24,111,ÎLE-DE-FRANCE,11,7,7,2,2,,,,,,2,,,,,,1,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,04 Emploi à durée déterminée,00,16,43.716053535,91,1490,1,6,,2
A0038934,24,111,RHÔNE-ALPES,82,6,6,2,2,,,,,,2,,,,1,,2,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",09,16,66.29957633,91,2100,1,5,54,2
A0038981,24,400,HAUTE-NORMANDIE,23,5,5,2,2,,,,,,2,,,,,,2,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,55.834573423,91,2233,1,0,0,2
A0039040,23,111,ALSACE,42,6,6,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,13M,52.048136686,91,4750,1,1,37,2
A0039138,23,400,AUVERGNE,83,1,1,2,2,,,,,,1,2,1267,3,3,2,1,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,0,,00,16,47.83134789,83,,2,6,6,2
A0039445,22,111,RHÔNE-ALPES,82,4,4,2,2,,,,,,2,,,,,,2,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,50.671841703,82,1136,1,6,6,2
A0039575,24,300,LORRAINE,41,1,1,2,2,,,,,,2,,,,,,2,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,144.30895866,82,1501,1,6,18,2
A0039596,26,111,ÎLE-DE-FRANCE,11,4,6,2,2,,,,,,2,,,1,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,30.792950916,11,2250,1,6,6,2
A0039619,25,111,ÎLE-DE-FRANCE,11,3,1,2,2,,,,,,2,,,3,3,1,2,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",07,16,69.377318061,11,3630,1,0,0,2
A0039637,24,111,ÎLE-DE-FRANCE,11,6,5,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,32.167751987,11,2530,1,0,0,2
A0039673,24,111,ÎLE-DE-FRANCE,11,1,1,1,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,31.390275011,11,2500,1,0,0,2
